State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	0.63163	36.53727	6.56996	1.68733	2.93419	38.15516	21.50004	0.16876
2	0.88707	37.22073	5.24554	1.26296	2.19511	30.68649	15.62674	0.42355
3	2.90773	0.69416	0.89167	1.11821	1.03321	1.26651	1.60116	0.42282
4	1.69023	0.16461	0.87565	1.29979	1.06358	0.97138	1.34107	0.23329
5	0.91437	0.40577	2.99083	2.25050	3.51378	1.46334	3.82414	0.05091
6	3.19243	0.61503	0.91562	2.26684	0.88007	0.45662	0.83724	0.10960
7	6.34354	0.35084	4.52972	2.22464	3.83481	0.44556	0.68593	0.19104
8	0.49452	2.34795	1.68669	1.06108	2.36256	1.79348	1.70300	0.75756
9	72.10020	0.22143	0.55226	0.81554	0.64788	0.32017	0.49248	1.17596
10	10.83828	1.83806	1.11458	0.88883	1.21496	1.26966	1.73134	1.02636
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
