State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.8608388700559131	0.12621522963098236	0.008977512869637366	1.746556854415412E-7	0.001653205758398706	1.502066791601401E-5	9.056561193091113E-5	0.0	0.0	0.0014097019409854388	0.0	0.0	6.524889871382936E-4	0.0	1.472298214123489E-4
2	0.0025333838038502383	0.9896226903303056	0.0011545889365067589	7.134725113071798E-4	4.942460726977903E-6	0.0	2.652049848234823E-6	0.0	1.3701433976768006E-5	5.6637623125325576E-5	5.889412685202716E-4	0.0039631829811478	1.1503754315989663E-4	7.091480060075953E-7	0.0012300599095192018
3	8.913283394653039E-4	0.005776644284293888	0.975496964350242	0.0018068369130917453	0.0	0.0	0.0	0.0	0.0	0.0	0.003152338902768727	0.003013110225112463	0.0037041963186175237	0.0	0.00615858066640821
4	0.0	0.0024307528197715987	0.00123100545541314	0.9465347868028416	0.006267197229228743	0.0	0.0012191842476022548	4.544589654710294E-5	7.584561142233035E-4	0.010340543710704808	0.016823687918299315	0.008517568008693462	9.389497575518485E-4	1.724567421405733E-4	0.004719965296982124
5	3.5476958413297225E-4	5.742267072763901E-5	1.9105521691107356E-7	0.020693629067155536	0.9595745329900991	0.01324302967584336	0.002600901217789003	2.709245808972914E-4	0.0	0.0022024514173014033	4.276475482449205E-6	6.826058491735032E-6	2.6473795214088715E-4	3.9836396194584675E-7	7.259088907597713E-4
6	0.0	0.0	0.0	0.0	0.09106718623335869	0.7708221161516641	0.07050273157661273	0.048609314966861585	0.0022358972920057223	0.016102085995220096	0.0	0.0	0.0	0.0	6.606677842770068E-4
7	9.699778182170767E-5	4.43920114635766E-5	0.0	0.009344797232288045	0.005534882346223943	0.02235756654840209	0.9525751353135941	0.008462643144870375	0.0	2.3879099451498513E-4	0.0	0.0	8.185252872611191E-4	0.0	5.262693395601435E-4
8	0.0	0.0	0.0	0.001957072074613546	0.0034030154868020766	0.09861621617969991	0.05156219169259746	0.7748055715632204	0.005133728592218745	0.004736193902218969	0.0	0.0	0.010787435794632786	0.048987032127073546	1.154258692250183E-5
9	1.2290279873239995E-5	3.0343717947455527E-4	0.0	0.013588905559111273	0.0	7.467190725198156E-4	1.9101197845523007E-7	0.0021223400540006034	0.6854155812662502	0.205460962280058	0.07733457875175327	3.9030063670854407E-4	0.0	0.012251695295004606	0.0023729986132674918
10	0.0012302574783252078	0.0024446512862788894	0.0	0.14408083991042286	0.00912744251983991	0.0107698372077315	2.6296128367559027E-4	0.0015645358615771175	0.15630664236932712	0.6659157721955044	0.0	0.0061876033094627695	0.0	6.559876223301234E-4	0.0014534689555243843
11	0.0	0.02490317491312413	0.02692703552803888	0.2168039524424445	7.568154492816728E-7	0.0	9.987478770434129E-4	0.0	0.053968680581442045	0.0	0.6311575773095367	0.020865532784785434	0.011343475886538137	0.008346424873120345	0.004684640988477114
12	0.0	0.15529200216742073	0.023747940141420433	0.10326528145180944	4.596554531869774E-6	0.0	0.0	0.0	3.29286744032686E-5	0.005317113890952916	0.01976569624416367	0.6388954874357349	0.0371926514979944	0.003355409284163752	0.013130892657404709
13	0.0011449692356667223	0.010845522320756446	0.06042285403394435	0.022836075215442182	0.0021831330686473555	0.0	0.003535910368732463	0.006386464636887166	0.0	0.0	0.020849470163663713	0.08116827978388519	0.6704289297554551	0.10265808558750532	0.01754030582941396
14	0.0	4.803650397987546E-5	0.0	0.006579126906109391	1.002368133647883E-5	0.0	1.5623699193295935E-7	0.04080641904509848	0.02382306300576707	0.0018508681898660488	0.02256321173756187	0.009427716679958075	0.1355796343388294	0.7571352177387112	0.002176525935790445
15	0.0	0.13006548668504478	0.12999069847543285	0.15399060844678278	0.00728409912025251	7.81487819205629E-4	0.002636284676766447	0.0	0.004112060001922624	0.003926280768808767	0.01284424037946221	0.03598568878637611	0.023008692598488326	0.001270673359158311	0.4941036988822986
